open,high,low,last,close,volume,date,symbol,exchange
223.38,225.775,221.79,225.55,225.67,50274.0,2020-06-08T17:35:46+0000,AMGN,IEXG
223.38,225.775,221.79,225.56,225.67,50268.0,2020-06-08T17:35:00+0000,AMGN,IEXG
223.38,225.775,221.79,225.39,225.67,49858.0,2020-06-08T17:30:58+0000,AMGN,IEXG
223.38,225.775,221.79,225.065,225.67,49441.0,2020-06-08T17:25:40+0000,AMGN,IEXG
223.38,225.775,221.79,225.51,225.67,48910.0,2020-06-08T17:20:03+0000,AMGN,IEXG
223.38,225.775,221.79,224.75,225.67,47880.0,2020-06-08T17:10:44+0000,AMGN,IEXG
223.38,225.775,221.79,224.84,225.67,47680.0,2020-06-08T17:10:00+0000,AMGN,IEXG
223.38,225.775,221.79,224.45,225.67,47276.0,2020-06-08T17:00:58+0000,AMGN,IEXG
223.38,225.63,221.79,225.185,225.67,33885.0,2020-06-08T15:05:42+0000,AMGN,IEXG
223.38,225.63,221.79,225.44,225.67,33785.0,2020-06-08T15:05:01+0000,AMGN,IEXG
219.7,225.9499,218.2,225.67,220.88,3613884.0,2020-06-06T00:00:00+0000,AMGN,IEXG
218.76,225.92,218.375,225.17,220.88,98574.0,2020-06-05T19:50:46+0000,AMGN,IEXG
218.76,225.92,218.375,225.33,220.88,97451.0,2020-06-05T19:50:00+0000,AMGN,IEXG
218.76,225.92,218.375,224.89,220.88,95054.0,2020-06-05T19:45:59+0000,AMGN,IEXG
218.76,225.92,218.375,224.99,220.88,92898.0,2020-06-05T19:40:57+0000,AMGN,IEXG
218.76,225.56,218.375,225.44,220.88,89182.0,2020-06-05T19:25:48+0000,AMGN,IEXG
218.76,225.56,218.375,225.26,220.88,87882.0,2020-06-05T19:20:44+0000,AMGN,IEXG
218.76,225.56,218.375,224.68,220.88,86601.0,2020-06-05T19:10:35+0000,AMGN,IEXG
218.76,225.56,218.375,224.88,220.88,84894.0,2020-06-05T19:00:47+0000,AMGN,IEXG
218.76,225.56,218.375,225.19,220.88,83964.0,2020-06-05T18:55:45+0000,AMGN,IEXG
218.76,225.56,218.375,225.45,220.88,82298.0,2020-06-05T18:45:10+0000,AMGN,IEXG
218.76,225.56,218.375,225.275,220.88,81630.0,2020-06-05T18:40:51+0000,AMGN,IEXG
218.76,225.56,218.375,224.8,220.88,80645.0,2020-06-05T18:35:27+0000,AMGN,IEXG
218.76,225.38,218.375,225.38,220.88,77357.0,2020-06-05T18:20:58+0000,AMGN,IEXG
218.76,225.095,218.375,224.845,220.88,76082.0,2020-06-05T18:15:21+0000,AMGN,IEXG
218.76,225.095,218.375,224.84,220.88,74944.0,2020-06-05T18:05:22+0000,AMGN,IEXG
218.76,225.05,218.375,224.8,220.88,74093.0,2020-06-05T18:00:01+0000,AMGN,IEXG
218.76,225.05,218.375,224.575,220.88,72926.0,2020-06-05T17:55:22+0000,AMGN,IEXG
218.76,225.05,218.375,223.93,220.88,72053.0,2020-06-05T17:50:23+0000,AMGN,IEXG
218.76,225.05,218.375,223.79,220.88,71150.0,2020-06-05T17:40:29+0000,AMGN,IEXG
218.76,225.05,218.375,223.825,220.88,71050.0,2020-06-05T17:40:00+0000,AMGN,IEXG
218.76,225.05,218.375,224.02,220.88,69950.0,2020-06-05T17:35:38+0000,AMGN,IEXG
218.76,225.05,218.375,224.31,220.88,69360.0,2020-06-05T17:30:38+0000,AMGN,IEXG
218.76,225.05,218.375,224.6,220.88,67312.0,2020-06-05T17:20:44+0000,AMGN,IEXG
218.76,225.05,218.375,224.06,220.88,66786.0,2020-06-05T17:15:20+0000,AMGN,IEXG
218.76,225.05,218.375,223.585,220.88,65986.0,2020-06-05T17:10:14+0000,AMGN,IEXG
218.76,225.05,218.375,223.54,220.88,65886.0,2020-06-05T17:10:02+0000,AMGN,IEXG
218.76,225.05,218.375,223.84,220.88,65011.0,2020-06-05T17:05:36+0000,AMGN,IEXG
218.76,225.05,218.375,223.715,220.88,63972.0,2020-06-05T17:00:29+0000,AMGN,IEXG
218.76,225.05,218.375,223.6,220.88,62912.0,2020-06-05T16:55:12+0000,AMGN,IEXG
218.76,225.05,218.375,223.555,220.88,62812.0,2020-06-05T16:55:01+0000,AMGN,IEXG
218.76,225.05,218.375,223.7,220.88,61719.0,2020-06-05T16:50:31+0000,AMGN,IEXG
218.76,225.05,218.375,223.665,220.88,60786.0,2020-06-05T16:45:29+0000,AMGN,IEXG
218.76,225.05,218.375,223.535,220.88,59835.0,2020-06-05T16:40:52+0000,AMGN,IEXG
218.76,225.05,218.375,224.08,220.88,59231.0,2020-06-05T16:35:18+0000,AMGN,IEXG
218.76,225.05,218.375,224.09,220.88,58453.0,2020-06-05T16:30:02+0000,AMGN,IEXG
218.76,225.05,218.375,224.72,220.88,57938.0,2020-06-05T16:25:25+0000,AMGN,IEXG
218.76,225.05,218.375,224.68,220.88,56438.0,2020-06-05T16:20:50+0000,AMGN,IEXG
