low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
119.4,121.0,366647.0,,,121.0,,,1.0,AENA.BMEX,BMEX,2020-09-16T00:00:00
120.5,122.5,214121.0,,,122.5,,,1.0,AENA.BMEX,BMEX,2020-09-15T00:00:00
120.5,120.9,127261.0,,,120.9,,,1.0,AENA.BMEX,BMEX,2020-09-14T00:00:00
120.0,121.3,166737.0,,,121.3,,,1.0,AENA.BMEX,BMEX,2020-09-11T00:00:00
122.7,123.5,108794.0,,,123.5,,,1.0,AENA.BMEX,BMEX,2020-09-10T00:00:00
123.2,124.0,130630.0,,,124.0,,,1.0,AENA.BMEX,BMEX,2020-09-09T00:00:00
123.2,125.2,228969.0,,,125.2,,,1.0,AENA.BMEX,BMEX,2020-09-08T00:00:00
126.1,127.5,177254.0,,,127.5,,,1.0,AENA.BMEX,BMEX,2020-09-07T00:00:00
126.0,126.1,250105.0,,,126.1,,,1.0,AENA.BMEX,BMEX,2020-09-04T00:00:00
128.4,129.0,242480.0,,,129.0,,,1.0,AENA.BMEX,BMEX,2020-09-03T00:00:00
126.7,127.8,180821.0,,,127.8,,,1.0,AENA.BMEX,BMEX,2020-09-02T00:00:00
123.8,126.6,161696.0,,,126.6,,,1.0,AENA.BMEX,BMEX,2020-09-01T00:00:00
125.1,125.1,231755.0,,,125.1,,,1.0,AENA.BMEX,BMEX,2020-08-31T00:00:00
123.0,128.8,181738.0,,,128.8,,,1.0,AENA.BMEX,BMEX,2020-08-28T00:00:00
122.5,124.2,418014.0,,,124.2,,,1.0,AENA.BMEX,BMEX,2020-08-27T00:00:00
121.3,124.2,133884.0,,,124.2,,,1.0,AENA.BMEX,BMEX,2020-08-26T00:00:00
122.5,122.5,139444.0,,,122.5,,,1.0,AENA.BMEX,BMEX,2020-08-25T00:00:00
119.4,122.0,91945.0,,,122.0,,,1.0,AENA.BMEX,BMEX,2020-08-24T00:00:00
116.2,118.6,179977.0,,,118.6,,,1.0,AENA.BMEX,BMEX,2020-08-21T00:00:00
115.9,116.9,96908.0,,,116.9,,,1.0,AENA.BMEX,BMEX,2020-08-20T00:00:00
116.5,118.0,96098.0,,,118.0,,,1.0,AENA.BMEX,BMEX,2020-08-19T00:00:00
114.9,117.9,311098.0,,,117.9,,,1.0,AENA.BMEX,BMEX,2020-08-18T00:00:00
114.9,115.3,272647.0,,,115.3,,,1.0,AENA.BMEX,BMEX,2020-08-17T00:00:00
117.6,120.0,140623.0,,,120.0,,,1.0,AENA.BMEX,BMEX,2020-08-14T00:00:00
121.2,121.2,183269.0,,,121.2,,,1.0,AENA.BMEX,BMEX,2020-08-13T00:00:00
122.0,122.8,116906.0,,,122.8,,,1.0,AENA.BMEX,BMEX,2020-08-12T00:00:00
118.7,123.6,582260.0,,,123.6,,,1.0,AENA.BMEX,BMEX,2020-08-11T00:00:00
115.9,117.9,72082.0,,,117.9,,,1.0,AENA.BMEX,BMEX,2020-08-10T00:00:00
115.4,116.0,129882.0,,,116.0,,,1.0,AENA.BMEX,BMEX,2020-08-07T00:00:00
116.1,118.5,336326.0,,,118.5,,,1.0,AENA.BMEX,BMEX,2020-08-06T00:00:00
